名稱,編號,生成地點,侵臺次數,侵(近)臺日期,發布時間,解除時間,發布報數,最大強度,近中心最大風速,侵臺路徑分類,登陸地段,動態,災情,颱風災害專區網頁連結
娜拉 (NORA),197315,"133.8, 11.4",僅一次,1973年 10月 09日,海上 1973-10-07 22:30:00陸上 1973-10-08 05:30:00,陸上 1973-10-10 15:00:00海上 1973-10-10 15:00:00,12,強烈,63 (公尺/秒),7,---,形成後於行進途中掠過呂宋島東北部後向北北西進行，通過臺灣西南部海面，由金門附近進入大陸地區。,東部及東北部地區有嚴重水災，有人員傷亡、失蹤。,---
白西 (PATSY),197317,"141.4, 12.9",僅一次,1973年 10月 12日,海上 1973-10-11 10:30:00,海上 1973-10-12 15:30:00,4,強烈,65 (公尺/秒),---,---,形成後向西北西進行，抵巴士海峽時，威力減弱與南海之熱帶低氣壓合併。,---,---
魏達 (WILDA),197301,"118.8, 18.3",僅一次,1973年 07月 03日,海上 1973-07-02 10:30:00,海上 1973-07-03 22:00:00,6,輕度,28 (公尺/秒),7,---,形成後向北進行，由金門附近進入大陸。,金門地區及東南部地區有嚴重災情，有人員傷亡、失蹤。,---
貝蒂 (BETTY),197213,"148.5, 13.0",僅一次,1972年 08月 17日,海上 1972-08-14 21:30:00陸上 1972-08-15 09:30:00,陸上 1972-08-17 14:30:00海上 1972-08-17 14:30:00,11,強烈,65 (公尺/秒),1,---,形成後在琉球南方海面向西北西轉西北方向，經石垣島、彭佳嶼海面掠過本省北部，從馬祖北方進入大陸。,全臺均有災情，尤以北部較嚴重，有水災及有人員傷亡、失蹤。,---
莉泰 (RITA),197207,"144.9, 10.4",僅一次,1972年 07月 23日,海上 1972-07-22 11:00:00陸上 1972-07-22 15:20:00,陸上 1972-07-24 05:00:00海上 1972-07-24 10:20:00,9,中度,33 (公尺/秒),---,---,形成後移至日本本州南方海面時向西南進行，在宮古島附近海面打轉後向北逐漸遠離。,---,---
蘇珊 (SUSAN),197208,"119.8, 16.6",僅一次,1972年 07月 12日,海上 1972-07-11 14:10:00陸上 1972-07-11 22:00:00,陸上 1972-07-12 22:30:00海上 1972-07-13 10:40:00,7,中度,35 (公尺/秒),---,---,形成後，向西北行進至東沙島海面打轉後向北北東行進，而消失於福建東部海岸。,---,---
溫妮 (WINNIE),197211,"127.1, 24.1",僅一次,1972年 08月 01日,海上 1972-08-01 08:00:00,海上 1972-08-02 06:00:00,4,輕度,18 (公尺/秒),---,---,形成後，向西北西進行，經彭佳嶼海面，由馬祖北方進入大陸。,---,---
艾妮絲 (AGNES),197126,"126.3, 18.8",僅一次,1971年 09月 18日,海上 1971-09-17 10:10:00陸上 1971-09-17 16:00:00,陸上 1971-09-19 15:30:00海上 1971-09-19 15:30:00,10,中度,33 (公尺/秒),3,宜蘭至花蓮間,形成後向西北轉北北西進行，至石垣島南方海面後轉向西行進，於18日18時25分在宜蘭與花蓮之間登陸，由臺中、新竹間進入臺灣海峽，於馬祖南方進入大陸。,全臺略有災情，有人員傷亡、失蹤。,---
寶佩 (BABE),197106,"119.0, 14.8",僅一次,1971年 05月 05日,海上 1971-05-05 10:30:00,海上 1971-05-06 10:30:00,3,輕度,25 (公尺/秒),---,---,形成後向北北東轉東北進行，通過巴士海峽後逐漸遠離。,---,---
貝絲 (BESS),197127,"150.9, 16.3",僅一次,1971年 09月 22日,海上 1971-09-20 21:30:00陸上 1971-09-21 08:10:00,陸上 1971-09-23 10:30:00海上 1971-09-23 10:30:00,10,強烈,65 (公尺/秒),2,彭佳嶼至宜蘭間,形成後向西北西進行，經石垣島南方近海，於22日22時許在宜蘭北方登陸，由桃園附近出海，於23日下午由馬祖西南方進入大陸。,北部地區有嚴重災情，有人員傷亡、失蹤。,---
露西 (LUCY),197116,"133.2, 15.0",僅一次,1971年 07月 21日,海上 1971-07-18 22:30:00陸上 1971-07-19 10:20:00,陸上 1971-07-21 10:40:00海上 1971-07-21 22:30:00,11,強烈,55 (公尺/秒),5,---,形成後，向西北轉西北西進行，通過巴士海峽北部後侵襲香港，爾後登陸大陸。,東部及東南部及澎湖略有災情，有人員傷亡、失蹤。,---
娜定 (NADINE),197118,"139.4, 14.8",僅一次,1971年 07月 26日,海上 1971-07-24 10:20:00陸上 1971-07-24 22:30:00,陸上 1971-07-26 21:00:00海上 1971-07-26 21:00:00,11,強烈,70 (公尺/秒),4,成功(新港)至臺東間,形成後在呂宋島東北方海面向西北西行進，於26日1時53分在成功(新港)與臺東間登陸，由嘉義西方出海，從金門附近進入大陸。,全臺均有災情，有人員傷亡、失蹤。,---
芙安 (FRAN),197015,"127.7, 20.6",僅一次,1970年 09月 07日,海上 1970-09-06 10:40:00陸上 1970-09-06 16:30:00,陸上 1970-09-07 16:00:00海上 1970-09-07 16:00:00,6,輕度,25 (公尺/秒),1,---,形成後，向北北東行進，經那壩島後向西南西進行，通過基隆北方近海後，由金門、馬祖間進入大陸。,中、北部有嚴重災情，尤以桃園地區最為嚴重，有人員傷亡、失蹤。,---
歐加 (OLGA),197002,"139.1, 11.7",僅一次,1970年 07月 03日,海上 1970-07-01 10:30:00陸上 1970-07-02 10:30:00,陸上 1970-07-03 10:30:00海上 1970-07-03 21:30:00,8,強烈,55 (公尺/秒),---,---,形成後，向西北行進，至石垣島附近轉為東北逐漸遠離。,---,---
魏達 (WILDA),197009,"131.5, 22.8",僅一次,1970年 08月 11日,海上 1970-08-10 10:30:00,海上 1970-08-12 10:20:00,5,中度,40 (公尺/秒),---,---,在那霸島南方海面形成後向北行進，經日本四國西方侵襲日本本州進入日本海。,---,---
貝蒂 (BETTY),196908,"138.1, 14.0",僅一次,1969年 08月 08日,海上 1969-08-07 09:40:00陸上 1969-08-07 15:30:00,陸上 1969-08-08 15:50:00海上 1969-08-08 21:20:00,7,中度,35 (公尺/秒),1,---,形成後向西北西進行，經石垣島、臺灣北海岸後，從馬祖附近登陸。,新竹、桃園地區略有災情，有人員傷亡、失蹤。,---
寇拉 (CORA),196909,"139.2, 13.4",僅一次,1969年 08月 19日,海上 1969-08-18 10:20:00陸上 1969-08-18 22:30:00,陸上 1969-08-19 15:20:00海上 1969-08-19 15:20:00,5,中度,40 (公尺/秒),---,---,形成後在那霸島南方海面向西北轉北北西行進而逐漸遠離。,---,---
艾爾西 (ELSIE),196911,"162.7, 17.4",僅一次,1969年 09月 26日,海上 1969-09-25 16:00:00陸上 1969-09-25 22:10:00,陸上 1969-09-27 15:40:00海上 1969-09-27 15:40:00,9,強烈,65 (公尺/秒),2,宜蘭至花蓮間,形成後在那霸島東南方海面向西北西方向行進，26日晚23時多左右由宜蘭、花蓮間登陸，由臺中附近出海，後於金門附近進入大陸。,全臺均有嚴重災情，有人員傷亡、失蹤。,---
芙勞西 (FLOSSIE),196912,"129.0, 15.7",僅一次,1969年 10月 02日,海上 1969-09-30 22:00:00陸上 1969-10-01 06:00:00,陸上 1969-10-03 22:30:00海上 1969-10-03 22:30:00,14,中度,33 (公尺/秒),6,---,形成後向西北西方向行進，至恆春東南方海面時轉向北行進，經蘭嶼附近後於宜蘭東南東方近海減弱為熱帶性低氣壓。,北部及東北部有嚴重災情，尤以臺北市發生嚴重水災，有人員傷亡、失蹤。,---
衛歐拉 (VIOLA),196905,"142.6, 8.6",僅一次,1969年 07月 27日,海上 1969-07-25 10:20:00陸上 1969-07-26 09:45:00,陸上 1969-07-28 09:40:00海上 1969-07-28 21:20:00,12,強烈,60 (公尺/秒),5,---,形成後，在呂宋島東方海面向西北西行進，經巴士海峽，從汕頭西南方登陸。,南部地區海水倒灌，損失慘重。有人員傷亡、失蹤。,---
溫妮 (WINNIE),196906,"133.4, 16.0",僅一次,1969年 08月 01日,海上 1969-07-31 10:20:00,海上 1969-08-01 10:10:00,3,輕度,25 (公尺/秒),---,---,形成後向西北西移動，至呂宋島東北方減弱為熱帶性低氣壓。,---,---
黛拉 (DELLA),196816,"134.2, 18.2",僅一次,1968年 09月 22日,海上 1968-09-21 16:30:00,海上 1968-09-22 21:30:00,4,強烈,51 (公尺/秒),---,---,形成後向西北轉北北東進行，經宮古島南方轉向西北進行，侵襲日本九州。,---,---
艾琳 (ELAINE),196817,"131.7, 10.5",僅一次,1968年 09月 30日,海上 1968-09-27 10:20:00陸上 1968-09-27 22:20:00,陸上 1968-10-01 10:20:00海上 1968-10-01 10:20:00,16,強烈,60 (公尺/秒),5,---,形成後向西北進行，通過呂宋島北端後經東沙島海面，由汕頭西南方進入大陸。,北部及東部地區有嚴重水災，有人員傷亡、失蹤。,---
娜定 (NADINE),196805,"127.2, 18.4",第 1 次,1968年 07月 25日,海上 1968-07-22 22:00:00陸上 1968-07-24 16:20:00,陸上 1968-07-26 22:10:00海上 1968-07-26 22:10:00,14,輕度,25 (公尺/秒),9,---,形成後，向西北西進行，穿過巴士海峽掠過本省南部後，轉向西南進行，27日抵東沙島東北方海面時，與歐莉芙颱風合併後，朝向東北方向移動，於28日18時左右在台南附近登陸後減弱為熱帶性低氣壓。,東部有水災，南部有風災，有人員死亡及失蹤。,---
娜定 (NADINE),196805,"127.2, 18.4",第 2 次,1968年 07月 28日,海上 1968-07-28 12:30:00陸上 1968-07-28 16:20:00,陸上 1968-07-28 21:50:00海上 1968-07-28 21:50:00,3,輕度,25 (公尺/秒),9,東石至高雄間,形成後向西北西進行，穿過巴士海峽掠過臺灣南部後轉向西南進行，27日抵東沙島東北方海面時與歐莉芙颱風合併，之後朝向東北方向移動，於28日18時左右在臺南附近登陸，之後減弱為熱帶性低氣壓。,東部有水災，南部有風災，有人員死亡及失蹤。,---
玻莉 (POLLY),196807,"156.0, 24.5",僅一次,1968年 08月 10日,海上 1968-08-10 11:00:00,海上 1968-08-11 21:20:00,4,輕度,30 (公尺/秒),---,---,形成後向西北西行進，通過呂宋島北部後向西進入南海侵襲海南島，登陸於越南北部。,---,---
羅絲 (ROSE),196808,"123.5, 17.4",僅一次,1968年 08月 14日,海上 1968-08-14 10:00:00,海上 1968-08-15 21:20:00,4,輕度,30 (公尺/秒),---,---,形成後在日本南方海面折向西南，穿過琉球群島入東海後再轉向東北，進入日本海。,---,---
雪莉 (SHIRLEY),196809,"127.1, 15.7",僅一次,1968年 08月 19日,海上 1968-08-18 21:40:00,海上 1968-08-21 10:00:00,6,輕度,30 (公尺/秒),---,---,形成後向西北西行進，越過呂宋島北部，侵襲香港後登陸大陸。,---,---
范迪 (WENDY),196812,"149.0, 16.3",僅一次,1968年 09月 06日,海上 1968-09-02 22:00:00陸上 1968-09-03 10:10:00,陸上 1968-09-07 10:00:00海上 1968-09-07 22:00:00,19,中度,45 (公尺/秒),5,---,形成後，在那壩島南方海面向西南西方向行進，經巴士海峽掠過恆春後轉西北西侵襲海南島，於廣東省沿岸登陸。,台灣東南部輕災，有人員傷亡、失蹤。,---
艾妮達 (ANITA),196706,"131.4, 12.7",僅一次,1967年 06月 29日,海上 1967-06-27 23:20:00陸上 1967-06-28 16:40:00,陸上 1967-06-29 22:30:00海上 1967-06-30 10:30:00,9,中度,35 (公尺/秒),---,---,形成後，向西北進行，通過巴士海峽，經台灣海峽南部由汕頭西南方登陸大陸。,---,---
畢莉 (BILLIE),196707,"137.7, 15.0",僅一次,1967年 07月 06日,海上 1967-07-04 22:30:00,海上 1967-07-07 10:20:00,6,中度,35 (公尺/秒),---,---,形成後，向西北西進行至呂宋島東北方海面時，轉向北經宮古島南方轉向北北東侵襲日本九州。,---,---
解拉 (CARLA),196729,"141.3, 10.9",僅一次,1967年 10月 18日,海上 1967-10-15 22:30:00陸上 1967-10-16 22:30:00,陸上 1967-10-18 17:00:00海上 1967-10-18 22:00:00,11,強烈,60 (公尺/秒),5,---,形成後，在呂宋島東方海面，向西北進行，穿過呂宋島北端後，向西北西進行，進入南海逐漸遠離。,本省東北部尤其蘭陽及基隆地區，有嚴重水災，有人員傷亡、失蹤。,---
葛萊拉 (CLARA),196708,"143.6, 20.8",僅一次,1967年 07月 11日,海上 1967-07-09 10:30:00陸上 1967-07-09 22:20:00,陸上 1967-07-11 22:20:00海上 1967-07-12 09:10:00,11,中度,40 (公尺/秒),3,宜蘭至花蓮間,形成後，在琉球南方海面向西北西進行於11日14時20分在花蓮北方20公里處登陸，由新竹出海，在福州近海減弱成熱帶性低氣壓。,花蓮有風災，嘉義、雲林、南投等地有嚴重水災，有人員傷亡、失蹤。,---
黛納 (DINAH),196730,"147.0, 12.7",僅一次,1967年 10月 26日,海上 1967-10-24 22:40:00陸上 1967-10-25 17:00:00,陸上 1967-10-26 16:00:00海上 1967-10-26 16:00:00,7,中度,45 (公尺/秒),---,---,形成後，在琉球南方海面，向西北西進行，至宮古島東南方海面時，轉向東北侵襲日本。,---,---
吉達 (GILDA),196733,"156.7, 7.8",僅一次,1967年 11月 18日,海上 1967-11-15 22:10:00陸上 1967-11-16 16:30:00,陸上 1967-11-18 16:30:00海上 1967-11-18 21:40:00,12,強烈,60 (公尺/秒),3,花蓮至成功(新港)間,形成後，在呂宋島東方海面，向西北行進，於18日10時6分在花蓮南方30公里處登陸，由台中及新竹間出海後，在台灣海峽北部減弱為熱帶性低氣壓。,花蓮地區災情慘重，有人員傷亡。,---
瑪芝 (MARGE),196718,"136.9, 19.4",僅一次,1967年 08月 29日,海上 1967-08-26 22:20:00陸上 1967-08-28 22:40:00,陸上 1967-08-30 10:20:00海上 1967-08-30 10:20:00,11,強烈,60 (公尺/秒),---,---,在那霸島南方海面形成後，向西南西移動，至呂宋島東北方海面轉向西北西，掠過呂宋島東北角後遠離。,---,---
娜拉 (NORA),196719,"131.5, 20.0",僅一次,1967年 08月 29日,海上 1967-08-28 22:40:00陸上 1967-08-28 22:40:00,陸上 1967-08-30 10:20:00海上 1967-08-30 10:20:00,11,中度,33 (公尺/秒),2,宜蘭至花蓮間,形成後，以西北西方向行進，於29日23時20分，在花蓮附近登陸，由新竹南方出海，從金門附近登陸。,全省各地無重大災情。,---
衛萊特 (VIOLET),196704,"149.0, 5.1",僅一次,1967年 04月 11日,海上 1967-04-07 10:40:00陸上 1967-04-10 19:40:00,陸上 1967-04-11 10:50:00海上 1967-04-11 16:20:00,12,強烈,51 (公尺/秒),---,---,形成後，向西北西進行，通過呂宋島北端至東沙島海面後，轉向東北東行進，至恆春近海減弱為熱帶性低氣壓。,---,---
艾麗絲 (ALICE),196615,"144.4, 18.2",僅一次,1966年 09月 03日,海上 1966-09-01 22:30:00陸上 1966-09-02 09:55:00,陸上 1966-09-03 10:00:00海上 1966-09-03 21:55:00,7,中度,40 (公尺/秒),---,---,形成後，向西行進，通過台灣北部海面，由馬祖北方進入大陸。,---,---
寇拉 (CORA),196617,"141.1, 13.2",僅一次,1966年 09月 06日,海上 1966-09-03 22:20:00陸上 1966-09-04 10:10:00,陸上 1966-09-07 05:20:00海上 1966-09-07 10:30:00,15,強烈,60 (公尺/秒),1,---,在琉球東南方海面形成後，向西北西進行，經宮古島、彭佳嶼附近後，向西北進行，由馬祖東北方進入大陸。,北部損失輕微，有人員傷亡、失蹤。,---
艾爾西 (ELSIE),196619,"118.0, 18.7",僅一次,1966年 09月 16日,海上 1966-09-14 15:50:00陸上 1966-09-14 21:00:00,陸上 1966-09-17 05:00:00海上 1966-09-17 05:00:00,6,強烈,51 (公尺/秒),9,高雄與恆春間,形成後，在東沙島東方海面向東北東行進，於16日上午9時30分在恆春北方登陸，由大武附近出海，轉向東北侵襲日本。,南部蕉園損失慘重，東北部地區水災較重，有人員傷亡、失蹤。,---
海倫 (HELEN),196622,"129.0, 19.3",僅一次,1966年 09月 21日,海上 1966-09-20 16:00:00,海上 1966-09-22 15:40:00,6,輕度,25 (公尺/秒),---,---,形成後向西北西行進，通過巴士海峽東部轉向北北東，抵琉球南方海面再轉向東北進行而遠離。,---,---
伊瑪 (IRMA),196602,"135.2, 8.6",僅一次,1966年 05月 20日,海上 1966-05-19 22:10:00,海上 1966-05-21 10:10:00,4,中度,40 (公尺/秒),---,---,形成後向西北西進行，越過菲律賓群島南部後，北移至巴士海峽南部轉向東北進行而遠離。,---,---
裘迪 (JUDY),196603,"116.5, 14.4",僅一次,1966年 05月 30日,海上 1966-05-28 10:30:00陸上 1966-05-29 17:00:00,陸上 1966-05-30 23:30:00海上 1966-05-31 10:00:00,12,中度,40 (公尺/秒),9,東石與高雄間,形成後，向北北西行進，經東沙島海面轉向東北，於30日17時30分，在台南北方登陸，由台東之北出海至石垣島減弱遠離。,南部有嚴重災情(蕉園受損)，有人員傷亡、失蹤。,---
瑪美 (MAMIE),196606,"124.0, 18.2",僅一次,1966年 07月 16日,海上 1966-07-16 15:40:00,海上 1966-07-17 10:00:00,3,中度,35 (公尺/秒),---,---,形成後向西北西進行，通過巴士海峽南部，經東沙島海面逐漸遠離。,---,---
妮娜 (NINA),196607,"130.1, 21.5",僅一次,1966年 07月 19日,海上 1966-07-18 09:00:00陸上 1966-07-18 10:00:00,陸上 1966-07-19 15:30:00海上 1966-07-19 15:30:00,7,中度,35 (公尺/秒),---,---,形成後向西北西行進，至花蓮東方近海時減弱為熱帶性低氣壓。,---,---
蘇珊 (SUSAN),196611,"115.8, 16.8",僅一次,1966年 08月 15日,海上 1966-08-14 16:50:00陸上 1966-08-15 10:20:00,陸上 1966-08-16 22:10:00海上 1966-08-17 10:00:00,10,中度,35 (公尺/秒),---,---,形成後向東北經巴士海峽至臺東東方海面上與蒂絲颱風作籐原效應，於16日上午減弱為熱帶性低氣壓。,---,---
蒂絲 (TESS),196612,"126.8, 26.7",僅一次,1966年 08月 16日,海上 1966-08-14 16:50:00陸上 1966-08-15 10:20:00,陸上 1966-08-16 22:10:00海上 1966-08-17 10:00:00,10,中度,38 (公尺/秒),1,---,形成後，向西進行，與蘇珊颱風作籐原效應，經台灣北部海面後，由馬祖北方登陸大陸。,中部略有災情。,---
寶佩 (BABE),196508,"109.6, 17.3",僅一次,1965年 06月 04日,海上 1965-06-04 09:30:00,海上 1965-06-04 22:10:00,2,中度,33 (公尺/秒),---,---,在西沙島附近形成後向東北進行，通過香港及東沙島海面，由汕頭附近登陸。,---,---
黛納 (DINAH),196510,"142.1, 11.9",僅一次,1965年 06月 18日,海上 1965-06-16 10:15:00陸上 1965-06-17 21:40:00,陸上 1965-06-19 05:45:00海上 1965-06-19 10:15:00,12,強烈,65 (公尺/秒),6,台東至恆春間,形成後在菲島東方海面，向西北轉北之方向，經巴士海峽，於18日20時30分左右，在大武附近登陸後，由台灣東北方之副低壓取代，轉向東北，越過東海，侵襲日本。,東部有嚴重災情，尤以台東鎮為烈，幾乎成為一片廢墟，有人員傷亡、失蹤。,---
鶯瑪 (EMMA),196511,"125.0, 14.9",僅一次,1965年 06月 25日,海上 1965-06-23 23:00:00陸上 1965-06-24 16:30:00,陸上 1965-06-25 16:10:00海上 1965-06-25 22:00:00,8,輕度,30 (公尺/秒),---,---,形成後向西北西轉北北西進行，至石垣島南方海面轉向東北，抵宮古島附近海面時減弱為熱帶性低氣壓。,---,---
費依 (FAYE),196533,"167.8, 8.4",僅一次,1965年 11月 24日,海上 1965-11-23 23:00:00,海上 1965-11-24 22:30:00,3,強烈,65 (公尺/秒),---,---,形成後在呂宋島東方海面向西北進行，於巴士古東方轉向東北逐漸遠離。,---,---
芙瑞達 (FREDA),196512,"141.4, 9.9",僅一次,1965年 07月 13日,海上 1965-07-12 16:30:00,海上 1965-07-14 10:45:00,6,強烈,70 (公尺/秒),---,---,形成後在菲律賓群島東方海面向西北西行進，越過呂宋島北部後登陸雷州半島。,---,---
哈莉 (HARRIET),196514,"143.0, 11.0",僅一次,1965年 07月 26日,海上 1965-07-24 22:50:00陸上 1965-07-25 10:50:00,陸上 1965-07-26 22:55:00海上 1965-07-27 09:40:00,11,強烈,51 (公尺/秒),4,花蓮至成功(新港)間,形成後在琉球東南方海面向西北西行進，於26日上午在成功(新港)附近登陸後由嘉義北方之副低壓取代，而由厦門附近登陸。,東部及北部略有災情，公路及鐵路損失較大。有人員傷亡、失蹤。,---
艾威 (IVY),196515,"130.2, 13.9",僅一次,1965年 07月 30日,海上 1965-07-28 22:35:00,海上 1965-07-30 09:45:00,4,中度,35 (公尺/秒),---,---,形成後，以偏西方向行進，侵襲呂宋島中部後又折向東轉北移動，最後併入琴恩颱風內。,---,---
琴恩 (JEAN),196516,"133.2, 17.5",僅一次,1965年 08月 04日,海上 1965-08-01 22:20:00,海上 1965-08-04 21:45:00,7,強烈,55 (公尺/秒),---,---,形成後在琉球南方海面向西北方向行進，通過那霸島西方近海後轉向北北東侵襲日本。,---,---
瑪麗 (MARY),196519,"135.0, 19.4",僅一次,1965年 08月 18日,海上 1965-08-17 10:00:00陸上 1965-08-17 23:00:00,陸上 1965-08-19 09:50:00海上 1965-08-19 21:50:00,9,強烈,75 (公尺/秒),2,宜蘭至花蓮間,在那壩島南方海面形成後，向西北轉西北西進行，經石垣島，於18日23時在宜蘭南方登陸後，由新竹、台中間之副低壓取代，在馬祖南方進入大陸。,東北部損失較大，有人員傷亡、失蹤。,---
羅絲 (ROSE),196523,"127.7, 15.7",僅一次,1965年 09月 03日,海上 1965-09-01 23:00:00,海上 1965-09-03 22:00:00,5,中度,45 (公尺/秒),---,---,形成後向西北西進行，通過呂宋島北端後進入南海，在雷州半島減弱。,---,---
崔絲 (TRIX),196525,"137.4, 16.7",僅一次,1965年 09月 15日,海上 1965-09-14 23:00:00,海上 1965-09-16 10:00:00,4,強烈,60 (公尺/秒),---,---,形成後向西北西進行，經那霸島東南方海面時轉向北北東侵襲日本。,---,---
貝蒂 (BETTY),196405,"132.5, 22.0",僅一次,1964年 07月 04日,海上 1964-07-03 06:00:00陸上 1964-07-03 09:50:00,陸上 1964-07-05 05:40:00海上 1964-07-05 11:00:00,10,中度,45 (公尺/秒),---,---,形成後，向西北西轉西北進行，通過台灣東北部海面，最後在長江口消失。,"",---
都麗絲 (DORIS),196407,"142.3, 10.1",僅一次,1964年 07月 15日,海上 1964-07-13 22:30:00陸上 1964-07-14 10:10:00,陸上 1964-07-15 16:00:00海上 1964-07-15 16:00:00,7,中度,40 (公尺/秒),---,---,形成後，在呂宋島東方海面向西北進行，抵宮古島附近，轉向北移動，隨即減弱為熱帶性低氣壓。,"",---
戴特 (DOT),196426,"136.4, 8.3",僅一次,1964年 10月 09日,海上 1964-10-09 16:30:00,海上 1964-10-10 10:20:00,3,中度,35 (公尺/秒),---,---,形成後在菲律賓群島東方海面向西北進行，穿過呂宋島東北部後，由香港附近登陸。,---,---
芙勞西 (FLOSSIE),196409,"127.8, 25.3",僅一次,1964年 07月 27日,海上 1964-07-26 22:20:00,海上 1964-07-27 16:45:00,3,輕度,30 (公尺/秒),---,---,形成後向西北進行，通過那霸與宮古島間，抵長江口附近再轉往韓國。,---,---
艾達 (IDA),196412,"145.5, 9.0",僅一次,1964年 08月 07日,海上 1964-08-05 22:30:00陸上 1964-08-07 06:00:00,陸上 1964-08-07 22:30:00海上 1964-08-08 10:10:00,8,強烈,65 (公尺/秒),---,---,形成後，在呂宋島東方海面上向西北西進行，越過呂宋島北部後，由香港附近登陸。,"",---
裘恩 (JUNE),196413,"131.6, 13.8",僅一次,1964年 08月 13日,海上 1964-08-11 23:30:00,海上 1964-08-13 10:30:00,4,輕度,20 (公尺/秒),---,---,形成後向西北西進行，至巴士海峽後消失。,---,---
凱西 (KATHY),196414,"151.2, 27.4",僅一次,1964年 08月 18日,海上 1964-08-16 23:00:00陸上 1964-08-17 10:20:00,陸上 1964-08-19 22:20:00海上 1964-08-20 10:00:00,13,強烈,55 (公尺/秒),---,---,形成後以偏西方向行進，至那霸島附近時與梅瑞颱風發生藤原效應後，北上侵襲日本九州。,---,---
梅瑞 (MARIE),196416,"132.8, 21.0",僅一次,1964年 08月 19日,海上 1964-08-16 23:00:00陸上 1964-08-17 10:20:00,陸上 1964-08-19 22:20:00海上 1964-08-20 10:00:00,13,中度,35 (公尺/秒),---,---,形成後向東北方向行進，至那霸島附近海面與凱西颱風呈藤原效應後消失。,---,---
歐珀 (OPAL),196437,"151.8, 6.1",僅一次,1965年 06月 04日,海上 1964-12-14 10:00:00,海上 1964-12-15 10:20:00,3,強烈,75 (公尺/秒),---,---,形成後在菲律賓群島東方海面向西北西進行，登陸呂宋島中部後北上，於巴士海峽轉向東北，逐漸遠離,---,---
魯碧 (RUBY),196418,"132.2, 19.9",僅一次,1964年 09月 03日,海上 1964-09-02 11:10:00陸上 1964-09-02 22:20:00,陸上 1964-09-03 22:20:00海上 1964-09-04 10:20:00,7,中度,35 (公尺/秒),---,---,形成後以偏西方向通過巴士海峽後，由香港附近進入大陸。,---,---
沙莉 (SALLY),196419,"156.7, 9.5",僅一次,1964年 09月 09日,海上 1964-09-07 16:20:00陸上 1964-09-07 22:30:00,陸上 1964-09-10 05:45:00海上 1964-09-10 10:40:00,12,強烈,75 (公尺/秒),---,---,形成後在呂宋島東方海面向西北西進行，通過巴士海峽及東沙島海面後，由香港附近登陸。,---,---
蒂達 (TILDA),196420,"129.9, 18.4",僅一次,1964年 09月 15日,海上 1964-09-14 10:40:00陸上 1964-09-14 12:10:00,陸上 1964-09-15 16:00:00海上 1964-09-15 22:00:00,8,中度,45 (公尺/秒),---,---,形成後向西北西進行，通過巴士海峽後，進入南海逐漸遠離。,---,---
衛歐拉 (VIOLA),196402,"115.4, 16.1",僅一次,1964年 05月 27日,海上 1964-05-26 16:20:00,海上 1964-05-27 22:10:00,4,中度,33 (公尺/秒),---,---,形成後先向東北行進，至東沙島及西沙島間海面時轉向西北進行，登陸於香港西方。,---,---
溫妮 (WINNIE),196403,"132.9, 13.5",僅一次,1964年 06月 30日,海上 1964-06-28 22:40:00,海上 1964-06-30 10:20:00,4,中度,45 (公尺/秒),---,---,形成後向西北西進行，越過菲律賓中部後轉向西北，於海南島附近進入大陸。,---,---
艾妮絲 (AGNES),196308,"131.6, 14.6",僅一次,1963年 07月 20日,海上 1963-07-19 10:10:00陸上 1963-07-19 22:00:00,陸上 1963-07-21 06:00:00海上 1963-07-21 16:00:00,8,中度,43 (公尺/秒),---,---,形成後向西北西進行，掠過呂宋島北部近海後在雷州半島進入大陸。,---,---
費依 (FAYE),196313,"135.7, 14.3",僅一次,1963年 09月 05日,海上 1963-09-03 22:00:00陸上 1963-09-04 10:00:00,陸上 1963-09-05 16:20:00海上 1963-09-05 22:10:00,8,強烈,51 (公尺/秒),---,---,形成後向西北西行進，至巴士海峽東部，改向西行進，而由雷州半島進入大陸。,"",---
葛樂禮 (GLORIA),196314,"138.8, 16.7",僅一次,1963年 09月 11日,海上 1963-09-08 11:00:00陸上 1963-09-08 22:00:00,陸上 1963-09-11 22:00:00海上 1963-09-12 10:30:00,15,強烈,68 (公尺/秒),1,---,形成後向西北西行進，於11日下午通過台灣北部近海，轉向西北進行，於馬祖附近登陸。,中、北部有非常嚴重之水災，有人員傷亡、失蹤，南部略有災情。,---
羅絲 (ROSE),196303,"119.8, 18.5",僅一次,1963年 06月 10日,海上 1963-06-08 16:30:00,海上 1963-06-11 22:40:00,8,輕度,25 (公尺/秒),---,---,形成後向東北進行，經巴士海峽、琉球群島附近逐漸遠離。,---,---
雪莉 (SHIRLEY),196304,"131.6, 13.7",僅一次,1963年 06月 18日,海上 1963-06-16 11:00:00陸上 1963-06-17 11:00:00,陸上 1963-06-17 23:00:00海上 1963-06-18 23:00:00,7,強烈,60 (公尺/秒),---,---,形成後向西北轉北北西進行，經宮古島附近而入東海，轉向北北東侵襲韓國。,---,---
崔絲 (TRIX),196305,"126.2, 13.5",僅一次,1963年 06月 29日,海上 1963-06-27 22:30:00陸上 1963-06-28 10:30:00,陸上 1963-07-01 16:10:00海上 1963-07-01 22:10:00,16,中度,33 (公尺/秒),---,---,形成後向西北進行，穿過呂宋島後轉向北北西行進，至東沙島附近轉向北北東，由汕頭附近登陸。,---,---
