名稱,編號,生成地點,侵臺次數,侵(近)臺日期,發布時間,解除時間,發布報數,最大強度,近中心最大風速,侵臺路徑分類,登陸地段,動態,災情,颱風災害專區網頁連結
柯羅莎 (KROSA ),200715,"131.0, 17.1",僅一次,2007年 10月 06日,海上 2007-10-04 17:30:00陸上 2007-10-05 05:30:00,陸上 2007-10-07 20:30:00海上 2007-10-07 23:30:00,27,強烈,51 (公尺/秒),2,頭城及三貂角間,生成後向西北方向移動，6日下午由宜蘭近岸沿海岸向南移至花蓮縣北部近海，呈打轉現象，當日22時30分左右在頭城及三貂角間進入北部陸地，之後向北北西移動且快速通過臺灣北端陸地，7日由福建、浙江交界進入大陸。,因強風豪雨造成全台皆有災情發生，包括淹水、土石流、道路中斷，曾有約233萬戶停電，臺東則曾出現焚風。計有9人死亡，農業損失約42.7億。,---
米塔 (MITAG),200723,"136.5, 13.2",僅一次,2007年 11月 27日,海上 2007-11-26 05:30:00,海上 2007-11-27 11:30:00,11,中度,35 (公尺/秒),---,---,生成後先向西北西後轉西北方向移動，通過呂宋島後減弱為輕度颱風，於巴士海峽減弱消失。,外圍環流帶來豪雨，造成東北部、東部地區有零星災情發生。,---
帕布 (PABUK ),200706,"135.6, 19.6",僅一次,2007年 08月 08日,海上 2007-08-06 23:30:00陸上 2007-08-07 05:30:00,陸上 2007-08-08 11:30:00海上 2007-08-08 14:30:00,14,輕度,28 (公尺/秒),4,恆春半島,生成後向西北西方向移動，7日轉為向西移動，8日2時左右中心通過恆春半島並持續向西行進。,無重大災情發生。,---
聖帕 (SEPAT  ),200708,"135.1, 17.0",僅一次,2007年 08月 18日,海上 2007-08-16 08:30:00陸上 2007-08-16 20:30:00,陸上 2007-08-19 14:30:00海上 2007-08-19 14:30:00,27,強烈,53 (公尺/秒),3,花蓮秀姑巒溪口附近,生成後向西南西方向移動，15日轉為向西北方向移動，18日5時40分左右在花蓮秀姑巒溪口附近登陸，當日11時左右在濁水溪口附近出海進入臺灣海峽，19日2時40分左右在金門北北東方進入福建。,因豪雨造成部分地區淹水、道路中斷，侵襲期間曾造成62萬戶停電。計有1人死亡，農業損失約18億。,---
韋帕 (WIPHA ),200712,"131.4, 19.9",僅一次,2007年 09月 18日,海上 2007-09-17 05:30:00陸上 2007-09-17 14:30:00,陸上 2007-09-19 08:30:00海上 2007-09-19 08:30:00,18,中度,48 (公尺/秒),1,---,生成後緩慢向西北西移動，18日轉向西北移動通過臺灣北方海面，19日由福建、浙江交界進入大陸。,災情零星，計有1人死亡。,---
梧提 (WUTIP ),200707,"124.5, 20.0",僅一次,2007年 08月 09日,海上 2007-08-08 11:30:00陸上 2007-08-08 11:30:00,陸上 2007-08-09 11:30:00海上 2007-08-09 11:30:00,9,輕度,18 (公尺/秒),3,花蓮及臺東交界附近,生成後由北北西轉西北方向移動，9日9時左右於花蓮及臺東交界附近進入陸地並繼續向西北移動，登陸後結構受地形破壞於9日11時減弱為熱帶性低氣壓。,無重大災情發生。,---
碧利斯 (BILIS),200604,"137.0, 13.4",僅一次,2006年 07月 13日,海上 2006-07-12 02:30:00陸上 2006-07-12 08:30:00,陸上 2006-07-15 02:30:00海上 2006-07-15 02:30:00,25,輕度,25 (公尺/秒),2,宜蘭頭城附近,生成後以西北方向移動，13日22時20分左右在宜蘭頭城附近登陸，14日1時20分左右由淡水附近進入臺灣海峽北部，13時左右由馬祖附近進入大陸福建。,中南部部分地區道路中斷，有3 人死亡，農業損失約1.8 億。,---
寶發 (BOPHA),200609,"131.2, 21.9",僅一次,2006年 08月 09日,海上 2006-08-07 20:30:00陸上 2006-08-08 14:30:00,陸上 2006-08-09 11:30:00海上 2006-08-09 14:30:00,15,輕度,23 (公尺/秒),4,臺東成功附近,生成後以偏西方向朝臺灣前進，9日3時20分左右在臺東成功附近登陸，7時20分左右由臺南附近出海向西南西移動，14時減弱為熱帶性低氣壓。,無重大傷亡事件發生，僅臺東縣有輕微農業損失。,---
珍珠 (CHANCHU),200601,"132.5, 8.4",僅一次,2006年 05月 18日,海上 2006-05-16 17:30:00陸上 2006-05-17 02:30:00,陸上 2006-05-18 17:30:00海上 2006-05-18 17:30:00,17,中度,45 (公尺/秒),9,---,生成後以西北西方向通過菲律賓群島進入南中國海，15日轉向偏北，進入廣東沿海後轉向北北東朝金門前進，登陸於大陸福建。,因豪雨造成部分地區道路中斷，無重大傷亡事件發生，農業損失逾1.5億。,---
艾維尼 (EWINIAR),200603,"137.7, 7.5",僅一次,2006年 07月 08日,海上 2006-07-07 23:30:00,海上 2006-07-09 05:30:00,11,中度,43 (公尺/秒),---,---,生成後以西北方向移動，之後轉向北北西方向移動，經臺灣東方海面時轉以偏北方向移動。,---,---
